tconst,startYear,runtimeMinutes,primaryTitle
tt76333685,1977,44,Episode 41
tt66020587,1977,44,Episode 42
tt47333928,1977,44,Episode 42
tt70862982,1977,44,Episode 42
tt62914354,1977,44,Episode 43
tt89389293,1977,44,Episode 43
tt48051615,1977,44,Episode 43
tt72227719,1977,44,Episode 45
tt72137800,1977,44,Episode 45
tt33357190,1977,44,Episode 45
tt71032953,1977,44,Episode 46
tt41734117,1977,44,Episode 46
tt50666875,1977,44,Episode 46
tt23782464,1977,45,Episode 61
tt47611124,1977,45,Episode 61
tt10082913,1977,45,Hus forbi
tt54035458,1977,45,The Pinballs
tt74157787,1977,45,The Pinballs
tt19569317,1977,45,The Pinballs
tt98790111,1977,45,The Pinballs
tt84891777,1977,45,Unterwelt
tt27638206,1977,45,Very Good Friends
tt24028123,1977,45,Very Good Friends
tt21214013,1977,45,Very Good Friends
tt15326663,1977,45,Very Good Friends
tt29420879,1977,46,African Connection
tt83949420,1977,46,African Connection
tt39984342,1977,46,Aftershock
tt22304376,1977,46,Aftershock
tt23199332,1977,46,Aftershock
tt63563489,1977,46,Aftershock
tt67960783,1977,46,Anschluss 77
tt11964428,1977,46,Anschluss 77
tt47117810,1977,46,Anschluss 77
tt34926539,1977,46,Anschluss 77
tt19976678,1977,46,Brain Wash
tt38463360,1977,46,Brain Wash
tt68038526,1977,46,Escape to Love
tt15437033,1977,46,Escape to Love
tt73441844,1977,46,Fatal Charm
tt49520933,1977,46,Fatal Charm
tt79289142,1977,46,Fatal Charm
tt58668385,1977,46,Fembots in Las Vegas
tt82560194,1977,46,Fembots in Las Vegas
tt79201678,1977,46,Fembots in Las Vegas
tt87683888,1977,46,Fembots in Las Vegas Part 2
tt75959848,1977,46,Fembots in Las Vegas Part 2
tt10723115,1977,46,Fembots in Las Vegas Part 2
tt97990792,1977,46,Gold Is Where You Find It
tt61111135,1977,46,Henhouse
tt40257433,1977,46,Henhouse
tt28050896,1977,46,Henhouse
tt84824801,1977,46,Henhouse
tt23406948,1977,46,I Do I Do
tt11409246,1977,46,I Do I Do
tt39283125,1977,46,I Do I Do
tt53513977,1977,46,I Do I Do
tt18472035,1977,46,I Do I Do
tt19859276,1977,46,Knockout
tt97925677,1977,46,Knockout
tt89970233,1977,46,Knockout
tt41590431,1977,46,Knockout
tt51409999,1977,46,Max
tt75231913,1977,46,Max
tt78941654,1977,46,Mind Stealers from Outer Space Part 1
tt51340385,1977,46,Mind Stealers from Outer Space Part 1
tt34299280,1977,46,Mind Stealers from Outer Space Part 1
tt76433046,1977,46,Mind Stealers from Outer Space Part 1
tt86682183,1977,46,Motorcycle Boogie
